classifier,model,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,DenseNet201,128,0.851,0.88,0.851,0.8540000000000001,0.8740000000000001,0.7170000000000001,0.95,0.8170000000000001,0.7979999999999999,0.9670000000000001,0.20199999999999999,0.05,0.28300000000000003,0.851
RF,VGG16,128,0.85,0.8740000000000001,0.85,0.853,0.8690000000000001,0.721,0.9309999999999999,0.813,0.8059999999999999,0.956,0.19399999999999998,0.069,0.27899999999999997,0.85
RF,MobileNet,256,0.85,0.879,0.85,0.853,0.873,0.715,0.95,0.816,0.7959999999999999,0.9670000000000001,0.204,0.05,0.285,0.85
RF,VGG19,128,0.8490000000000001,0.8759999999999999,0.8490000000000001,0.853,0.871,0.7170000000000001,0.9420000000000001,0.8140000000000001,0.799,0.963,0.201,0.057999999999999996,0.28300000000000003,0.8490000000000001
RF,MobileNetV2,256,0.848,0.871,0.848,0.851,0.866,0.72,0.9259999999999999,0.81,0.8059999999999999,0.953,0.19399999999999998,0.07400000000000001,0.28,0.848
RF,VGG19,256,0.846,0.879,0.846,0.8490000000000001,0.872,0.7070000000000001,0.9570000000000001,0.813,0.7859999999999999,0.972,0.214,0.043,0.293,0.846
RF,DenseNet201,256,0.845,0.877,0.845,0.848,0.87,0.706,0.9540000000000001,0.8109999999999999,0.7859999999999999,0.9690000000000001,0.214,0.046,0.294,0.845
RF,VGG16,256,0.843,0.8759999999999999,0.843,0.847,0.868,0.705,0.9520000000000001,0.81,0.785,0.968,0.215,0.048,0.295,0.843
RF,MobileNet,128,0.84,0.8740000000000001,0.84,0.843,0.866,0.698,0.9540000000000001,0.8059999999999999,0.778,0.9690000000000001,0.222,0.046,0.302,0.84
RF,DenseNet121,128,0.8370000000000001,0.8690000000000001,0.8370000000000001,0.841,0.861,0.698,0.941,0.8009999999999999,0.7809999999999999,0.961,0.21899999999999997,0.059000000000000004,0.302,0.8370000000000001
RF,DenseNet169,128,0.836,0.867,0.836,0.84,0.8590000000000001,0.698,0.937,0.8,0.782,0.958,0.218,0.063,0.302,0.836
RF,ResNet101V2,128,0.8340000000000001,0.866,0.8340000000000001,0.838,0.858,0.696,0.935,0.7979999999999999,0.78,0.9570000000000001,0.22,0.065,0.304,0.8340000000000001
RF,MobileNetV2,128,0.8320000000000001,0.865,0.8320000000000001,0.836,0.856,0.693,0.937,0.797,0.7759999999999999,0.958,0.22399999999999998,0.063,0.307,0.8320000000000001
RF,DenseNet169,256,0.8320000000000001,0.8640000000000001,0.8320000000000001,0.835,0.855,0.693,0.9329999999999999,0.795,0.777,0.956,0.223,0.067,0.307,0.8320000000000001
RF,DenseNet121,256,0.831,0.865,0.831,0.835,0.856,0.69,0.9390000000000001,0.795,0.773,0.9590000000000001,0.22699999999999998,0.061,0.31,0.831
RF,ResNet101V2,256,0.825,0.862,0.825,0.8290000000000001,0.851,0.682,0.9390000000000001,0.79,0.764,0.9590000000000001,0.23600000000000002,0.061,0.318,0.825
RF,ResNet152V2,128,0.8220000000000001,0.863,0.8220000000000001,0.826,0.851,0.675,0.948,0.789,0.754,0.9640000000000001,0.24600000000000002,0.052000000000000005,0.325,0.8220000000000001
RF,ResNet152V2,256,0.821,0.861,0.821,0.825,0.8490000000000001,0.674,0.9440000000000001,0.7859999999999999,0.754,0.9620000000000001,0.24600000000000002,0.055999999999999994,0.326,0.821
RF,InceptionV3,256,0.789,0.848,0.789,0.794,0.8270000000000001,0.633,0.9520000000000001,0.76,0.7020000000000001,0.9640000000000001,0.298,0.048,0.36700000000000005,0.789
RF,InceptionV3,128,0.752,0.823,0.752,0.757,0.794,0.593,0.9309999999999999,0.725,0.6559999999999999,0.9470000000000001,0.344,0.069,0.40700000000000003,0.752
