classifier,model,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
SVM,VGG16,256,0.873,0.887,0.873,0.875,0.885,0.762,0.9259999999999999,0.836,0.8440000000000001,0.955,0.156,0.07400000000000001,0.23800000000000002,0.873
SVM,DenseNet201,256,0.8690000000000001,0.895,0.8690000000000001,0.872,0.892,0.7390000000000001,0.968,0.838,0.816,0.98,0.184,0.032,0.261,0.8690000000000001
SVM,MobileNet,256,0.8640000000000001,0.8909999999999999,0.8640000000000001,0.867,0.887,0.733,0.963,0.8320000000000001,0.8109999999999999,0.976,0.18899999999999997,0.037000000000000005,0.267,0.8640000000000001
SVM,MobileNetV2,256,0.862,0.888,0.862,0.865,0.884,0.733,0.955,0.8290000000000001,0.812,0.971,0.188,0.045,0.267,0.862
SVM,DenseNet169,256,0.86,0.887,0.86,0.863,0.882,0.7290000000000001,0.955,0.8270000000000001,0.809,0.971,0.191,0.045,0.271,0.86
SVM,DenseNet121,256,0.86,0.887,0.86,0.863,0.883,0.727,0.9590000000000001,0.8270000000000001,0.8059999999999999,0.973,0.19399999999999998,0.040999999999999995,0.273,0.86
SVM,MobileNet,128,0.853,0.884,0.853,0.856,0.878,0.715,0.963,0.821,0.7929999999999999,0.975,0.207,0.037000000000000005,0.285,0.853
SVM,VGG16,128,0.851,0.871,0.851,0.8540000000000001,0.866,0.7290000000000001,0.915,0.8109999999999999,0.8170000000000001,0.9470000000000001,0.183,0.085,0.271,0.851
SVM,DenseNet169,128,0.845,0.878,0.845,0.848,0.87,0.705,0.955,0.8109999999999999,0.785,0.97,0.215,0.045,0.295,0.845
SVM,VGG19,256,0.8390000000000001,0.87,0.8390000000000001,0.8420000000000001,0.863,0.701,0.9420000000000001,0.804,0.7829999999999999,0.9620000000000001,0.217,0.057999999999999996,0.299,0.8390000000000001
SVM,MobileNetV2,128,0.8390000000000001,0.873,0.8390000000000001,0.8420000000000001,0.865,0.698,0.9520000000000001,0.805,0.778,0.968,0.222,0.048,0.302,0.8390000000000001
SVM,DenseNet201,128,0.8340000000000001,0.873,0.8340000000000001,0.8370000000000001,0.863,0.688,0.9590000000000001,0.8009999999999999,0.7659999999999999,0.972,0.23399999999999999,0.040999999999999995,0.312,0.8340000000000001
SVM,VGG19,128,0.8290000000000001,0.86,0.8290000000000001,0.833,0.851,0.691,0.9259999999999999,0.7909999999999999,0.777,0.951,0.223,0.07400000000000001,0.309,0.8290000000000001
SVM,ResNet101V2,256,0.8190000000000001,0.863,0.8190000000000001,0.823,0.85,0.669,0.9540000000000001,0.7859999999999999,0.746,0.968,0.254,0.046,0.331,0.8190000000000001
SVM,DenseNet121,128,0.818,0.856,0.818,0.8220000000000001,0.845,0.6729999999999999,0.9329999999999999,0.782,0.7559999999999999,0.955,0.244,0.067,0.327,0.818
SVM,ResNet101V2,128,0.815,0.858,0.815,0.8190000000000001,0.845,0.6659999999999999,0.9440000000000001,0.7809999999999999,0.745,0.961,0.255,0.055999999999999994,0.33399999999999996,0.815
SVM,ResNet152V2,256,0.812,0.853,0.812,0.8170000000000001,0.84,0.665,0.9329999999999999,0.777,0.747,0.9540000000000001,0.253,0.067,0.335,0.812
SVM,ResNet152V2,128,0.8079999999999999,0.852,0.8079999999999999,0.812,0.8370000000000001,0.6579999999999999,0.937,0.773,0.738,0.956,0.262,0.063,0.342,0.8079999999999999
SVM,InceptionV3,256,0.8079999999999999,0.856,0.8079999999999999,0.813,0.841,0.657,0.948,0.7759999999999999,0.733,0.963,0.267,0.052000000000000005,0.34299999999999997,0.8079999999999999
SVM,InceptionV3,128,0.7509999999999999,0.8270000000000001,0.7509999999999999,0.7559999999999999,0.795,0.591,0.9420000000000001,0.726,0.648,0.9540000000000001,0.35200000000000004,0.057999999999999996,0.409,0.7509999999999999
