classifier,model,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,Xception,128,0.802,0.81,0.802,0.802,0.644,0.659,0.644,0.6509999999999999,0.9790000000000001,0.978,0.021,0.35600000000000004,0.341,0.9740000000000001
RF,VGG16,128,0.885,0.887,0.885,0.88,0.721,0.84,0.721,0.7759999999999999,0.985,0.9890000000000001,0.015,0.27899999999999997,0.16,0.985
RF,VGG19,128,0.862,0.862,0.862,0.858,0.725,0.7979999999999999,0.725,0.76,0.983,0.986,0.017,0.275,0.20199999999999999,0.982
RF,ResNet50,128,0.7609999999999999,0.802,0.7609999999999999,0.772,0.665,0.652,0.665,0.6579999999999999,0.976,0.973,0.024,0.335,0.348,0.968
RF,ResNet101,128,0.762,0.79,0.762,0.769,0.6409999999999999,0.6659999999999999,0.6409999999999999,0.653,0.976,0.973,0.024,0.359,0.33399999999999996,0.968
RF,ResNet152,128,0.7509999999999999,0.78,0.7509999999999999,0.759,0.612,0.6,0.612,0.606,0.975,0.972,0.025,0.38799999999999996,0.4,0.9670000000000001
RF,ResNet50V2,128,0.851,0.853,0.851,0.8420000000000001,0.664,0.8490000000000001,0.664,0.745,0.9790000000000001,0.986,0.021,0.336,0.151,0.98
RF,ResNet101V2,128,0.841,0.847,0.841,0.835,0.647,0.8440000000000001,0.647,0.732,0.978,0.9840000000000001,0.022000000000000002,0.353,0.156,0.9790000000000001
RF,ResNet152V2,128,0.838,0.845,0.838,0.831,0.635,0.821,0.635,0.716,0.978,0.9840000000000001,0.022000000000000002,0.365,0.179,0.978
RF,InceptionV3,128,0.7879999999999999,0.799,0.7879999999999999,0.787,0.657,0.675,0.657,0.6659999999999999,0.976,0.976,0.024,0.34299999999999997,0.325,0.972
RF,InceptionResNetV2,128,0.8009999999999999,0.8109999999999999,0.8009999999999999,0.8,0.672,0.695,0.672,0.6829999999999999,0.978,0.977,0.022000000000000002,0.32799999999999996,0.305,0.973
RF,MobileNet,128,0.867,0.868,0.867,0.858,0.675,0.871,0.675,0.7609999999999999,0.981,0.9890000000000001,0.019,0.325,0.129,0.982
RF,MobileNetV2,128,0.8690000000000001,0.87,0.8690000000000001,0.861,0.68,0.877,0.68,0.7659999999999999,0.981,0.9890000000000001,0.019,0.32,0.12300000000000001,0.983
RF,DenseNet121,128,0.867,0.8690000000000001,0.867,0.863,0.7340000000000001,0.833,0.7340000000000001,0.78,0.983,0.986,0.017,0.266,0.16699999999999998,0.982
RF,DenseNet169,128,0.878,0.877,0.878,0.8740000000000001,0.7509999999999999,0.84,0.7509999999999999,0.7929999999999999,0.985,0.987,0.015,0.249,0.16,0.9840000000000001
RF,DenseNet201,128,0.88,0.878,0.88,0.875,0.7340000000000001,0.831,0.7340000000000001,0.779,0.9840000000000001,0.988,0.016,0.266,0.16899999999999998,0.9840000000000001
