classifier,model1,model2,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc,valid
RF,Xception,DenseNet201,256,0.895,0.894,0.895,0.8909999999999999,0.762,0.879,0.762,0.816,0.985,0.99,0.015,0.23800000000000002,0.121,0.986,1
RF,ResNet50V2,DenseNet201,256,0.895,0.894,0.895,0.889,0.754,0.8759999999999999,0.754,0.81,0.985,0.99,0.015,0.24600000000000002,0.124,0.986,1
RF,DenseNet121,DenseNet201,256,0.893,0.893,0.893,0.889,0.774,0.88,0.774,0.8240000000000001,0.985,0.9890000000000001,0.015,0.226,0.12,0.986,1
RF,VGG19,DenseNet201,256,0.893,0.894,0.893,0.888,0.7490000000000001,0.878,0.7490000000000001,0.8079999999999999,0.985,0.99,0.015,0.251,0.122,0.986,1
RF,InceptionV3,DenseNet201,256,0.893,0.892,0.893,0.888,0.757,0.875,0.757,0.812,0.9840000000000001,0.99,0.016,0.243,0.125,0.986,1
RF,VGG16,DenseNet201,256,0.892,0.892,0.892,0.889,0.769,0.858,0.769,0.8109999999999999,0.986,0.9890000000000001,0.013999999999999999,0.231,0.142,0.986,1
RF,ResNet152V2,DenseNet201,256,0.8909999999999999,0.8909999999999999,0.8909999999999999,0.887,0.758,0.8809999999999999,0.758,0.815,0.985,0.99,0.015,0.242,0.11900000000000001,0.986,1
RF,MobileNet,DenseNet201,256,0.8909999999999999,0.893,0.8909999999999999,0.887,0.757,0.897,0.757,0.821,0.9840000000000001,0.99,0.016,0.243,0.10300000000000001,0.986,1
RF,ResNet101V2,DenseNet201,256,0.8909999999999999,0.8909999999999999,0.8909999999999999,0.8859999999999999,0.759,0.885,0.759,0.8170000000000001,0.985,0.99,0.015,0.24100000000000002,0.115,0.986,1
RF,InceptionV3,DenseNet169,256,0.8909999999999999,0.889,0.8909999999999999,0.885,0.743,0.873,0.743,0.8029999999999999,0.985,0.99,0.015,0.257,0.127,0.986,1
RF,Xception,DenseNet169,256,0.89,0.89,0.89,0.885,0.753,0.8640000000000001,0.753,0.805,0.985,0.99,0.015,0.247,0.136,0.985,1
RF,VGG16,MobileNetV2,256,0.89,0.889,0.89,0.885,0.74,0.848,0.74,0.79,0.986,0.9890000000000001,0.013999999999999999,0.26,0.152,0.985,1
RF,ResNet152V2,DenseNet169,256,0.889,0.889,0.889,0.884,0.764,0.8809999999999999,0.764,0.818,0.9840000000000001,0.9890000000000001,0.016,0.23600000000000002,0.11900000000000001,0.985,1
RF,MobileNet,DenseNet169,256,0.889,0.888,0.889,0.883,0.763,0.8759999999999999,0.763,0.816,0.9840000000000001,0.9890000000000001,0.016,0.237,0.124,0.985,1
RF,VGG19,DenseNet169,256,0.888,0.8859999999999999,0.888,0.884,0.774,0.855,0.774,0.812,0.985,0.9890000000000001,0.015,0.226,0.145,0.985,1
RF,ResNet101V2,DenseNet169,256,0.887,0.888,0.887,0.8809999999999999,0.727,0.8740000000000001,0.727,0.794,0.9840000000000001,0.99,0.016,0.273,0.126,0.985,1
