classifier,model1,model2,model3,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,VGG19,ResNet152V2,DenseNet201,256,0.897,0.895,0.897,0.893,0.759,0.88,0.759,0.815,0.986,0.991,0.013999999999999999,0.24100000000000002,0.12,0.986
RF,VGG16,ResNet152V2,DenseNet201,256,0.893,0.895,0.893,0.89,0.778,0.863,0.778,0.818,0.986,0.9890000000000001,0.013999999999999999,0.222,0.13699999999999998,0.986
RF,VGG16,MobileNet,DenseNet201,256,0.892,0.8909999999999999,0.892,0.889,0.765,0.865,0.765,0.812,0.985,0.9890000000000001,0.015,0.235,0.135,0.986
RF,VGG19,MobileNetV2,DenseNet169,256,0.892,0.89,0.892,0.889,0.772,0.8420000000000001,0.772,0.805,0.986,0.9890000000000001,0.013999999999999999,0.228,0.158,0.986
RF,VGG19,MobileNet,DenseNet201,256,0.892,0.8909999999999999,0.892,0.888,0.762,0.87,0.762,0.812,0.985,0.9890000000000001,0.015,0.23800000000000002,0.13,0.986
RF,VGG16,VGG19,DenseNet201,256,0.8909999999999999,0.8909999999999999,0.8909999999999999,0.888,0.767,0.858,0.767,0.81,0.986,0.9890000000000001,0.013999999999999999,0.233,0.142,0.985
RF,InceptionV3,DenseNet169,DenseNet201,256,0.8909999999999999,0.892,0.8909999999999999,0.888,0.7709999999999999,0.863,0.7709999999999999,0.8140000000000001,0.986,0.9890000000000001,0.013999999999999999,0.22899999999999998,0.13699999999999998,0.985
RF,VGG16,ResNet152V2,MobileNetV2,256,0.8909999999999999,0.892,0.8909999999999999,0.887,0.736,0.856,0.736,0.7909999999999999,0.986,0.99,0.013999999999999999,0.264,0.14400000000000002,0.985
RF,VGG19,InceptionV3,DenseNet201,256,0.8909999999999999,0.8909999999999999,0.8909999999999999,0.887,0.764,0.87,0.764,0.8140000000000001,0.985,0.9890000000000001,0.015,0.23600000000000002,0.13,0.985
RF,MobileNet,MobileNetV2,DenseNet169,256,0.8909999999999999,0.892,0.8909999999999999,0.887,0.752,0.8590000000000001,0.752,0.802,0.985,0.9890000000000001,0.015,0.248,0.141,0.986
RF,ResNet101V2,MobileNetV2,DenseNet201,128,0.89,0.8909999999999999,0.89,0.888,0.773,0.848,0.773,0.809,0.987,0.988,0.013000000000000001,0.22699999999999998,0.152,0.985
