classifier,model,image_size,n_components,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,DenseNet169,256,100,0.883,0.883,0.883,0.88,0.762,0.84,0.762,0.799,0.985,0.988,0.015,0.23800000000000002,0.16,0.9840000000000001
RF,VGG16,256,100,0.88,0.884,0.88,0.877,0.752,0.823,0.752,0.7859999999999999,0.985,0.988,0.015,0.248,0.177,0.9840000000000001
RF,MobileNet,256,500,0.878,0.877,0.878,0.871,0.7070000000000001,0.852,0.7070000000000001,0.773,0.983,0.9890000000000001,0.017,0.293,0.14800000000000002,0.9840000000000001
RF,MobileNet,128,100,0.877,0.879,0.877,0.8740000000000001,0.747,0.7979999999999999,0.747,0.772,0.985,0.988,0.015,0.253,0.20199999999999999,0.9840000000000001
RF,MobileNetV2,256,500,0.875,0.8740000000000001,0.875,0.868,0.71,0.833,0.71,0.767,0.983,0.988,0.017,0.29,0.16699999999999998,0.983
RF,DenseNet201,256,100,0.871,0.8759999999999999,0.871,0.87,0.773,0.838,0.773,0.804,0.985,0.985,0.015,0.22699999999999998,0.162,0.983
RF,VGG19,256,100,0.871,0.871,0.871,0.868,0.746,0.8170000000000001,0.746,0.78,0.983,0.986,0.017,0.254,0.183,0.983
RF,DenseNet169,256,500,0.871,0.872,0.871,0.868,0.7390000000000001,0.818,0.7390000000000001,0.7759999999999999,0.9840000000000001,0.986,0.016,0.261,0.182,0.983
RF,DenseNet121,256,100,0.8690000000000001,0.875,0.8690000000000001,0.868,0.768,0.8340000000000001,0.768,0.8,0.9840000000000001,0.985,0.016,0.23199999999999998,0.166,0.982
RF,MobileNet,256,100,0.868,0.871,0.868,0.866,0.723,0.8140000000000001,0.723,0.7659999999999999,0.9840000000000001,0.987,0.016,0.27699999999999997,0.18600000000000003,0.982
RF,MobileNetV2,256,100,0.866,0.867,0.866,0.863,0.715,0.8059999999999999,0.715,0.758,0.9840000000000001,0.986,0.016,0.285,0.19399999999999998,0.982
RF,VGG19,128,100,0.865,0.8690000000000001,0.865,0.863,0.746,0.787,0.746,0.7659999999999999,0.9840000000000001,0.986,0.016,0.254,0.213,0.982
RF,MobileNet,128,500,0.865,0.866,0.865,0.861,0.732,0.8,0.732,0.764,0.9840000000000001,0.986,0.016,0.268,0.2,0.982
RF,VGG16,128,100,0.8640000000000001,0.866,0.8640000000000001,0.86,0.723,0.7659999999999999,0.723,0.7440000000000001,0.9840000000000001,0.986,0.016,0.27699999999999997,0.23399999999999999,0.982
RF,DenseNet169,256,50,0.863,0.868,0.863,0.862,0.775,0.7809999999999999,0.775,0.778,0.985,0.9840000000000001,0.015,0.225,0.21899999999999997,0.982
RF,DenseNet169,128,100,0.862,0.866,0.862,0.861,0.757,0.779,0.757,0.768,0.985,0.985,0.015,0.243,0.221,0.982
RF,DenseNet201,256,500,0.86,0.872,0.86,0.861,0.772,0.8109999999999999,0.772,0.7909999999999999,0.985,0.983,0.015,0.228,0.18899999999999997,0.981
RF,MobileNetV2,128,100,0.8590000000000001,0.866,0.8590000000000001,0.857,0.7240000000000001,0.7959999999999999,0.7240000000000001,0.758,0.983,0.985,0.017,0.276,0.204,0.981
RF,DenseNet201,256,50,0.857,0.865,0.857,0.857,0.765,0.782,0.765,0.773,0.985,0.9840000000000001,0.015,0.235,0.218,0.981
RF,DenseNet121,256,500,0.856,0.868,0.856,0.857,0.765,0.8009999999999999,0.765,0.7829999999999999,0.9840000000000001,0.983,0.016,0.235,0.19899999999999998,0.981
RF,VGG16,256,50,0.856,0.866,0.856,0.856,0.7509999999999999,0.753,0.7509999999999999,0.752,0.985,0.985,0.015,0.249,0.247,0.981
RF,VGG16,256,500,0.855,0.868,0.855,0.855,0.736,0.758,0.736,0.747,0.9840000000000001,0.9840000000000001,0.016,0.264,0.242,0.981
RF,DenseNet201,128,100,0.855,0.861,0.855,0.8540000000000001,0.748,0.737,0.748,0.742,0.9840000000000001,0.9840000000000001,0.016,0.252,0.263,0.981
