classifier,model,image_size,n_components,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
SVM,DenseNet201,256,500,0.897,0.899,0.897,0.8959999999999999,0.8140000000000001,0.8740000000000001,0.8140000000000001,0.843,0.987,0.988,0.013000000000000001,0.18600000000000003,0.126,0.986
SVM,DenseNet169,256,500,0.892,0.894,0.892,0.8909999999999999,0.8109999999999999,0.86,0.8109999999999999,0.835,0.987,0.988,0.013000000000000001,0.18899999999999997,0.14,0.986
SVM,VGG16,256,500,0.888,0.889,0.888,0.8859999999999999,0.782,0.835,0.782,0.8079999999999999,0.986,0.988,0.013999999999999999,0.218,0.165,0.985
SVM,MobileNet,256,500,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.88,0.732,0.902,0.732,0.8079999999999999,0.983,0.99,0.017,0.268,0.098,0.985
SVM,MobileNet,128,500,0.884,0.884,0.884,0.88,0.754,0.846,0.754,0.797,0.986,0.988,0.013999999999999999,0.24600000000000002,0.154,0.9840000000000001
SVM,MobileNetV2,256,500,0.884,0.883,0.884,0.88,0.742,0.843,0.742,0.789,0.985,0.9890000000000001,0.015,0.258,0.157,0.9840000000000001
SVM,VGG19,256,500,0.878,0.878,0.878,0.8759999999999999,0.7879999999999999,0.8140000000000001,0.7879999999999999,0.8009999999999999,0.985,0.986,0.015,0.212,0.18600000000000003,0.9840000000000001
SVM,DenseNet121,256,500,0.875,0.877,0.875,0.8740000000000001,0.7829999999999999,0.828,0.7829999999999999,0.805,0.985,0.986,0.015,0.217,0.172,0.983
SVM,MobileNetV2,128,500,0.8590000000000001,0.866,0.8590000000000001,0.858,0.765,0.8029999999999999,0.765,0.784,0.9840000000000001,0.9840000000000001,0.016,0.235,0.19699999999999998,0.981
SVM,DenseNet201,256,100,0.847,0.862,0.847,0.85,0.778,0.7829999999999999,0.778,0.78,0.9840000000000001,0.982,0.016,0.222,0.217,0.98
SVM,DenseNet201,128,500,0.8370000000000001,0.843,0.8370000000000001,0.8370000000000001,0.769,0.718,0.769,0.743,0.982,0.98,0.018000000000000002,0.231,0.282,0.978
SVM,Xception,256,500,0.835,0.8420000000000001,0.835,0.835,0.726,0.7390000000000001,0.726,0.732,0.981,0.981,0.019,0.27399999999999997,0.261,0.978
SVM,VGG16,128,500,0.833,0.853,0.833,0.838,0.794,0.7140000000000001,0.794,0.752,0.983,0.9790000000000001,0.017,0.20600000000000002,0.28600000000000003,0.978
SVM,MobileNet,256,100,0.8320000000000001,0.846,0.8320000000000001,0.8340000000000001,0.735,0.759,0.735,0.747,0.982,0.981,0.018000000000000002,0.265,0.24100000000000002,0.978
SVM,DenseNet169,256,100,0.83,0.8490000000000001,0.83,0.835,0.779,0.725,0.779,0.7509999999999999,0.9840000000000001,0.98,0.016,0.221,0.275,0.977
SVM,DenseNet169,128,500,0.8270000000000001,0.8440000000000001,0.8270000000000001,0.8320000000000001,0.765,0.722,0.765,0.743,0.982,0.9790000000000001,0.018000000000000002,0.235,0.278,0.977
SVM,VGG16,256,100,0.8170000000000001,0.843,0.8170000000000001,0.8240000000000001,0.775,0.7,0.775,0.736,0.983,0.978,0.017,0.225,0.3,0.976
SVM,DenseNet121,128,500,0.8140000000000001,0.835,0.8140000000000001,0.8190000000000001,0.7659999999999999,0.69,0.7659999999999999,0.726,0.982,0.977,0.018000000000000002,0.23399999999999999,0.31,0.975
SVM,VGG19,128,500,0.813,0.838,0.813,0.82,0.78,0.684,0.78,0.7290000000000001,0.982,0.977,0.018000000000000002,0.22,0.316,0.975
SVM,MobileNet,128,100,0.8079999999999999,0.8390000000000001,0.8079999999999999,0.815,0.736,0.7140000000000001,0.736,0.725,0.981,0.977,0.019,0.264,0.28600000000000003,0.9740000000000001
SVM,DenseNet121,256,100,0.807,0.826,0.807,0.812,0.746,0.718,0.746,0.732,0.98,0.977,0.02,0.254,0.282,0.9740000000000001
SVM,DenseNet201,128,100,0.8029999999999999,0.8270000000000001,0.8029999999999999,0.8079999999999999,0.7509999999999999,0.6829999999999999,0.7509999999999999,0.715,0.981,0.976,0.019,0.249,0.317,0.9740000000000001
