classifier,model1,model2,image_size,n_component,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,VGG16,DenseNet169,256,100,0.875,0.877,0.875,0.871,0.7490000000000001,0.818,0.7490000000000001,0.782,0.985,0.987,0.015,0.251,0.182,0.983
RF,VGG16,MobileNet,256,100,0.87,0.8740000000000001,0.87,0.867,0.728,0.816,0.728,0.769,0.9840000000000001,0.987,0.016,0.272,0.184,0.983
RF,VGG16,DenseNet121,256,100,0.87,0.871,0.87,0.866,0.745,0.809,0.745,0.7759999999999999,0.9840000000000001,0.986,0.016,0.255,0.191,0.983
RF,DenseNet121,DenseNet201,256,100,0.868,0.87,0.868,0.8640000000000001,0.732,0.8240000000000001,0.732,0.775,0.983,0.986,0.017,0.268,0.17600000000000002,0.982
RF,MobileNetV2,DenseNet169,256,100,0.868,0.867,0.868,0.861,0.716,0.8340000000000001,0.716,0.7709999999999999,0.982,0.987,0.018000000000000002,0.284,0.166,0.982
RF,VGG16,DenseNet201,256,100,0.867,0.872,0.867,0.865,0.755,0.7929999999999999,0.755,0.774,0.9840000000000001,0.985,0.016,0.245,0.207,0.982
RF,VGG19,DenseNet121,256,100,0.866,0.866,0.866,0.863,0.74,0.82,0.74,0.778,0.983,0.986,0.017,0.26,0.18,0.982
RF,VGG19,DenseNet169,256,100,0.866,0.8690000000000001,0.866,0.862,0.743,0.804,0.743,0.772,0.9840000000000001,0.986,0.016,0.257,0.196,0.982
RF,MobileNet,DenseNet201,256,100,0.865,0.8690000000000001,0.865,0.862,0.726,0.8059999999999999,0.726,0.764,0.9840000000000001,0.986,0.016,0.27399999999999997,0.19399999999999998,0.982
RF,DenseNet121,DenseNet169,256,100,0.8640000000000001,0.866,0.8640000000000001,0.861,0.745,0.8059999999999999,0.745,0.774,0.983,0.985,0.017,0.255,0.19399999999999998,0.982
RF,VGG19,MobileNetV2,256,100,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8590000000000001,0.728,0.799,0.728,0.762,0.983,0.986,0.017,0.272,0.201,0.982
RF,MobileNetV2,DenseNet121,256,100,0.863,0.8640000000000001,0.863,0.8590000000000001,0.72,0.8,0.72,0.758,0.983,0.986,0.017,0.28,0.2,0.982
RF,VGG16,DenseNet169,256,500,0.862,0.868,0.862,0.86,0.742,0.797,0.742,0.769,0.9840000000000001,0.985,0.016,0.258,0.203,0.982
RF,MobileNet,DenseNet169,256,100,0.862,0.8640000000000001,0.862,0.8590000000000001,0.7340000000000001,0.785,0.7340000000000001,0.759,0.9840000000000001,0.985,0.016,0.266,0.215,0.982
RF,MobileNetV2,DenseNet201,256,100,0.862,0.865,0.862,0.8590000000000001,0.7170000000000001,0.813,0.7170000000000001,0.762,0.983,0.986,0.017,0.28300000000000003,0.187,0.982
RF,VGG16,DenseNet169,256,50,0.86,0.868,0.86,0.8590000000000001,0.7559999999999999,0.774,0.7559999999999999,0.765,0.985,0.985,0.015,0.244,0.226,0.981
RF,VGG16,MobileNetV2,256,100,0.86,0.8640000000000001,0.86,0.857,0.722,0.7859999999999999,0.722,0.753,0.983,0.985,0.017,0.278,0.214,0.981
RF,MobileNet,DenseNet121,256,100,0.86,0.863,0.86,0.857,0.721,0.807,0.721,0.762,0.983,0.985,0.017,0.27899999999999997,0.193,0.981
RF,ResNet152V2,MobileNet,256,100,0.86,0.862,0.86,0.856,0.722,0.789,0.722,0.754,0.983,0.986,0.017,0.278,0.21100000000000002,0.981
RF,ResNet50V2,DenseNet169,256,100,0.8590000000000001,0.862,0.8590000000000001,0.856,0.732,0.8029999999999999,0.732,0.7659999999999999,0.982,0.985,0.018000000000000002,0.268,0.19699999999999998,0.981
RF,InceptionV3,MobileNet,256,100,0.858,0.86,0.858,0.852,0.693,0.81,0.693,0.747,0.981,0.986,0.019,0.307,0.19,0.981
RF,VGG16,MobileNet,256,50,0.857,0.866,0.857,0.857,0.735,0.755,0.735,0.745,0.985,0.985,0.015,0.265,0.245,0.981
RF,Xception,VGG16,256,100,0.857,0.8590000000000001,0.857,0.853,0.7190000000000001,0.804,0.7190000000000001,0.759,0.982,0.985,0.018000000000000002,0.281,0.196,0.981
RF,Xception,DenseNet169,256,100,0.857,0.858,0.857,0.853,0.725,0.807,0.725,0.764,0.982,0.985,0.018000000000000002,0.275,0.193,0.981
RF,MobileNet,MobileNetV2,256,100,0.856,0.8590000000000001,0.856,0.851,0.7070000000000001,0.809,0.7070000000000001,0.755,0.981,0.985,0.019,0.293,0.191,0.981
RF,VGG19,DenseNet201,256,100,0.855,0.863,0.855,0.8540000000000001,0.74,0.8,0.74,0.769,0.982,0.9840000000000001,0.018000000000000002,0.26,0.2,0.981
RF,VGG16,MobileNetV2,128,100,0.855,0.861,0.855,0.853,0.73,0.7659999999999999,0.73,0.748,0.983,0.9840000000000001,0.017,0.27,0.23399999999999999,0.981
RF,VGG16,DenseNet201,128,100,0.855,0.856,0.855,0.853,0.737,0.7609999999999999,0.737,0.7490000000000001,0.983,0.9840000000000001,0.017,0.263,0.239,0.981
RF,VGG16,ResNet152V2,256,100,0.855,0.858,0.855,0.852,0.733,0.782,0.733,0.757,0.983,0.9840000000000001,0.017,0.267,0.218,0.981
RF,VGG19,DenseNet169,128,100,0.8540000000000001,0.856,0.8540000000000001,0.852,0.733,0.773,0.733,0.752,0.983,0.9840000000000001,0.017,0.267,0.22699999999999998,0.981
RF,Xception,VGG19,256,100,0.8540000000000001,0.857,0.8540000000000001,0.85,0.703,0.7859999999999999,0.703,0.742,0.982,0.985,0.018000000000000002,0.297,0.214,0.981
RF,MobileNet,MobileNetV2,256,500,0.8540000000000001,0.855,0.8540000000000001,0.847,0.6940000000000001,0.82,0.6940000000000001,0.752,0.98,0.986,0.02,0.306,0.18,0.981
RF,VGG16,MobileNet,128,100,0.853,0.862,0.853,0.853,0.743,0.75,0.743,0.746,0.9840000000000001,0.9840000000000001,0.016,0.257,0.25,0.98
RF,VGG16,DenseNet121,256,50,0.853,0.86,0.853,0.852,0.742,0.7490000000000001,0.742,0.745,0.9840000000000001,0.9840000000000001,0.016,0.258,0.251,0.98
RF,VGG16,DenseNet169,128,100,0.853,0.856,0.853,0.851,0.733,0.758,0.733,0.745,0.983,0.9840000000000001,0.017,0.267,0.242,0.98
RF,VGG19,MobileNet,128,100,0.853,0.857,0.853,0.851,0.73,0.754,0.73,0.742,0.9840000000000001,0.9840000000000001,0.016,0.27,0.24600000000000002,0.98
RF,Xception,DenseNet121,256,100,0.853,0.8540000000000001,0.853,0.8490000000000001,0.708,0.795,0.708,0.7490000000000001,0.982,0.9840000000000001,0.018000000000000002,0.292,0.205,0.98
RF,VGG16,MobileNetV2,256,500,0.853,0.858,0.853,0.8490000000000001,0.713,0.7959999999999999,0.713,0.752,0.981,0.985,0.019,0.287,0.204,0.98
RF,Xception,MobileNet,256,100,0.853,0.855,0.853,0.847,0.7020000000000001,0.789,0.7020000000000001,0.743,0.981,0.985,0.019,0.298,0.21100000000000002,0.98
RF,VGG19,ResNet50V2,256,100,0.852,0.862,0.852,0.851,0.7190000000000001,0.7879999999999999,0.7190000000000001,0.752,0.983,0.9840000000000001,0.017,0.281,0.212,0.98
RF,VGG16,VGG19,256,100,0.852,0.857,0.852,0.85,0.728,0.748,0.728,0.738,0.983,0.9840000000000001,0.017,0.272,0.252,0.98
RF,VGG16,MobileNet,256,500,0.852,0.855,0.852,0.848,0.7090000000000001,0.792,0.7090000000000001,0.748,0.982,0.9840000000000001,0.018000000000000002,0.29100000000000004,0.20800000000000002,0.98
RF,ResNet101V2,DenseNet169,256,100,0.852,0.856,0.852,0.848,0.725,0.7809999999999999,0.725,0.752,0.981,0.9840000000000001,0.019,0.275,0.21899999999999997,0.98
