classifier,model1,model2,model3,image_size,n_component,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,VGG16,MobileNetV2,DenseNet169,256,100,0.8690000000000001,0.8690000000000001,0.8690000000000001,0.8640000000000001,0.72,0.821,0.72,0.767,0.982,0.987,0.018000000000000002,0.28,0.179,0.982
RF,VGG19,MobileNet,DenseNet121,256,100,0.867,0.8690000000000001,0.867,0.862,0.7290000000000001,0.823,0.7290000000000001,0.773,0.983,0.986,0.017,0.271,0.177,0.982
RF,VGG16,MobileNet,DenseNet121,256,100,0.866,0.866,0.866,0.862,0.718,0.8140000000000001,0.718,0.763,0.983,0.987,0.017,0.282,0.18600000000000003,0.982
RF,VGG19,DenseNet121,DenseNet201,256,100,0.866,0.866,0.866,0.862,0.736,0.8220000000000001,0.736,0.777,0.983,0.986,0.017,0.264,0.17800000000000002,0.982
RF,VGG16,DenseNet121,DenseNet201,256,100,0.865,0.865,0.865,0.861,0.731,0.812,0.731,0.769,0.983,0.986,0.017,0.26899999999999996,0.188,0.982
RF,VGG16,DenseNet121,DenseNet169,256,100,0.8640000000000001,0.867,0.8640000000000001,0.861,0.741,0.81,0.741,0.774,0.983,0.986,0.017,0.259,0.19,0.982
RF,VGG16,MobileNet,DenseNet169,256,100,0.863,0.866,0.863,0.86,0.7290000000000001,0.804,0.7290000000000001,0.765,0.983,0.986,0.017,0.271,0.196,0.982
RF,VGG16,MobileNetV2,DenseNet121,256,100,0.863,0.8640000000000001,0.863,0.8590000000000001,0.7240000000000001,0.795,0.7240000000000001,0.758,0.983,0.986,0.017,0.276,0.205,0.982
RF,VGG16,MobileNet,DenseNet201,256,100,0.862,0.865,0.862,0.8590000000000001,0.7290000000000001,0.7959999999999999,0.7290000000000001,0.7609999999999999,0.983,0.985,0.017,0.271,0.204,0.982
RF,VGG16,MobileNetV2,DenseNet201,256,100,0.862,0.863,0.862,0.8590000000000001,0.725,0.7929999999999999,0.725,0.757,0.983,0.986,0.017,0.275,0.207,0.982
RF,VGG19,MobileNetV2,DenseNet201,256,100,0.861,0.862,0.861,0.857,0.722,0.816,0.722,0.7659999999999999,0.982,0.985,0.018000000000000002,0.278,0.184,0.981
RF,MobileNetV2,DenseNet121,DenseNet201,256,100,0.861,0.86,0.861,0.856,0.705,0.8,0.705,0.75,0.982,0.986,0.018000000000000002,0.295,0.2,0.981
RF,VGG19,MobileNetV2,DenseNet169,256,100,0.861,0.861,0.861,0.855,0.711,0.816,0.711,0.76,0.982,0.986,0.018000000000000002,0.289,0.184,0.981
RF,VGG16,DenseNet169,DenseNet201,256,100,0.86,0.8640000000000001,0.86,0.857,0.736,0.8059999999999999,0.736,0.769,0.983,0.985,0.017,0.264,0.19399999999999998,0.981
RF,MobileNet,DenseNet121,DenseNet169,256,100,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.855,0.7170000000000001,0.8059999999999999,0.7170000000000001,0.759,0.982,0.985,0.018000000000000002,0.28300000000000003,0.19399999999999998,0.981
RF,VGG19,MobileNet,DenseNet169,256,100,0.858,0.861,0.858,0.855,0.723,0.787,0.723,0.754,0.983,0.985,0.017,0.27699999999999997,0.213,0.981
RF,VGG19,MobileNet,DenseNet201,256,100,0.858,0.8640000000000001,0.858,0.855,0.7240000000000001,0.792,0.7240000000000001,0.7559999999999999,0.983,0.985,0.017,0.276,0.20800000000000002,0.981
RF,VGG19,MobileNetV2,DenseNet121,256,100,0.858,0.857,0.858,0.853,0.716,0.8029999999999999,0.716,0.757,0.981,0.985,0.019,0.284,0.19699999999999998,0.981
RF,VGG16,VGG19,DenseNet121,256,100,0.857,0.861,0.857,0.8540000000000001,0.732,0.7759999999999999,0.732,0.753,0.983,0.985,0.017,0.268,0.22399999999999998,0.981
RF,VGG16,ResNet152V2,MobileNet,256,100,0.857,0.861,0.857,0.8540000000000001,0.722,0.7829999999999999,0.722,0.7509999999999999,0.983,0.985,0.017,0.278,0.217,0.981
RF,VGG19,DenseNet121,DenseNet169,256,100,0.857,0.8590000000000001,0.857,0.8540000000000001,0.7290000000000001,0.799,0.7290000000000001,0.762,0.982,0.985,0.018000000000000002,0.271,0.201,0.981
RF,MobileNetV2,DenseNet169,DenseNet201,256,100,0.857,0.86,0.857,0.853,0.711,0.8059999999999999,0.711,0.7559999999999999,0.982,0.985,0.018000000000000002,0.289,0.19399999999999998,0.981
RF,MobileNet,DenseNet169,DenseNet201,256,100,0.856,0.857,0.856,0.852,0.723,0.792,0.723,0.7559999999999999,0.983,0.985,0.017,0.27699999999999997,0.20800000000000002,0.981
RF,MobileNet,MobileNetV2,DenseNet121,256,100,0.856,0.856,0.856,0.85,0.6970000000000001,0.8109999999999999,0.6970000000000001,0.75,0.981,0.985,0.019,0.303,0.18899999999999997,0.981
RF,VGG16,VGG19,DenseNet169,256,100,0.855,0.863,0.855,0.853,0.7340000000000001,0.784,0.7340000000000001,0.758,0.983,0.9840000000000001,0.017,0.266,0.21600000000000003,0.981
RF,MobileNet,DenseNet121,DenseNet201,256,100,0.855,0.8590000000000001,0.855,0.852,0.7240000000000001,0.802,0.7240000000000001,0.7609999999999999,0.982,0.985,0.018000000000000002,0.276,0.198,0.981
RF,MobileNetV2,DenseNet121,DenseNet169,256,100,0.8540000000000001,0.856,0.8540000000000001,0.85,0.703,0.8059999999999999,0.703,0.7509999999999999,0.981,0.985,0.019,0.297,0.19399999999999998,0.981
RF,VGG16,ResNet101V2,DenseNet169,256,100,0.853,0.856,0.853,0.8490000000000001,0.722,0.797,0.722,0.758,0.982,0.9840000000000001,0.018000000000000002,0.278,0.203,0.98
